2022-05-09 18:51:08,817 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:51:08Z,  ip: 192.168.48.1, 
2022-05-09 18:51:57,968 [INFO] in __init__ : method: GET,  path: /transactions/upload,  status: 200,  time: 2022-05-09T18:51:57Z,  ip: 192.168.48.1, 
2022-05-09 18:52:04,098 [INFO] in __init__ : method: POST,  path: /transactions/upload,  status: 302,  time: 2022-05-09T18:52:04Z,  ip: 192.168.48.1, 
2022-05-09 18:52:04,209 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:52:04Z,  ip: 192.168.48.1, 
2022-05-09 18:52:35,133 [INFO] in __init__ : method: GET,  path: /transactions/upload,  status: 200,  time: 2022-05-09T18:52:35Z,  ip: 192.168.48.1, 
2022-05-09 18:52:41,783 [INFO] in __init__ : method: POST,  path: /transactions/upload,  status: 302,  time: 2022-05-09T18:52:41Z,  ip: 192.168.48.1, 
2022-05-09 18:52:41,889 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:52:41Z,  ip: 192.168.48.1, 
2022-05-09 18:56:27,759 [INFO] in __init__ : method: GET,  path: /transactions,  status: 302,  time: 2022-05-09T18:56:27Z,  ip: 192.168.48.1, 
2022-05-09 18:56:27,933 [INFO] in __init__ : method: GET,  path: /login,  status: 200,  time: 2022-05-09T18:56:27Z,  ip: 192.168.48.1, 
2022-05-09 18:56:29,402 [INFO] in __init__ : method: GET,  path: /register,  status: 200,  time: 2022-05-09T18:56:29Z,  ip: 192.168.48.1, 
2022-05-09 18:56:36,522 [INFO] in __init__ : method: POST,  path: /register,  status: 302,  time: 2022-05-09T18:56:36Z,  ip: 192.168.48.1, 
2022-05-09 18:56:36,546 [INFO] in __init__ : method: GET,  path: /login,  status: 200,  time: 2022-05-09T18:56:36Z,  ip: 192.168.48.1, 
2022-05-09 18:56:40,697 [INFO] in __init__ : method: POST,  path: /login,  status: 302,  time: 2022-05-09T18:56:40Z,  ip: 192.168.48.1, 
2022-05-09 18:56:40,800 [INFO] in __init__ : method: GET,  path: /dashboard,  status: 200,  time: 2022-05-09T18:56:40Z,  ip: 192.168.48.1, 
2022-05-09 18:56:43,268 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:56:43Z,  ip: 192.168.48.1, 
2022-05-09 18:56:44,480 [INFO] in __init__ : method: GET,  path: /transactions/upload,  status: 200,  time: 2022-05-09T18:56:44Z,  ip: 192.168.48.1, 
2022-05-09 18:56:49,605 [INFO] in __init__ : method: POST,  path: /transactions/upload,  status: 302,  time: 2022-05-09T18:56:49Z,  ip: 192.168.48.1, 
2022-05-09 18:56:49,638 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:56:49Z,  ip: 192.168.48.1, 
2022-05-09 18:57:47,723 [INFO] in __init__ : method: GET,  path: /logout,  status: 302,  time: 2022-05-09T18:57:47Z,  ip: 192.168.48.1, 
2022-05-09 18:57:47,850 [INFO] in __init__ : method: GET,  path: /login,  status: 200,  time: 2022-05-09T18:57:47Z,  ip: 192.168.48.1, 
2022-05-09 18:57:48,747 [INFO] in __init__ : method: GET,  path: /register,  status: 200,  time: 2022-05-09T18:57:48Z,  ip: 192.168.48.1, 
2022-05-09 18:57:54,576 [INFO] in __init__ : method: POST,  path: /register,  status: 302,  time: 2022-05-09T18:57:54Z,  ip: 192.168.48.1, 
2022-05-09 18:57:54,588 [INFO] in __init__ : method: GET,  path: /login,  status: 200,  time: 2022-05-09T18:57:54Z,  ip: 192.168.48.1, 
2022-05-09 18:58:00,240 [INFO] in __init__ : method: POST,  path: /login,  status: 302,  time: 2022-05-09T18:58:00Z,  ip: 192.168.48.1, 
2022-05-09 18:58:00,344 [INFO] in __init__ : method: GET,  path: /dashboard,  status: 200,  time: 2022-05-09T18:58:00Z,  ip: 192.168.48.1, 
2022-05-09 18:58:02,670 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:58:02Z,  ip: 192.168.48.1, 
2022-05-09 18:58:03,734 [INFO] in __init__ : method: GET,  path: /transactions/upload,  status: 200,  time: 2022-05-09T18:58:03Z,  ip: 192.168.48.1, 
2022-05-09 18:58:08,801 [INFO] in __init__ : method: POST,  path: /transactions/upload,  status: 302,  time: 2022-05-09T18:58:08Z,  ip: 192.168.48.1, 
2022-05-09 18:58:08,841 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:58:08Z,  ip: 192.168.48.1, 
2022-05-09 18:58:14,597 [INFO] in __init__ : method: GET,  path: /transactions/upload,  status: 200,  time: 2022-05-09T18:58:14Z,  ip: 192.168.48.1, 
2022-05-09 18:59:09,339 [INFO] in __init__ : method: GET,  path: /,  status: 200,  time: 2022-05-09T18:59:09Z,  ip: 192.168.48.1, 
